180	454
180	55
180	729
180	144
180	641
180	363
180	155
180	1051
180	1245
1437	855
1437	1051
1437	1112
1437	1245
1437	1041
1437	1101
99	144
99	155
99	55
99	180
99	454
99	363
99	729
99	641
1112	1245
1112	155
1112	1437
1112	1041
1112	855
1153	729
1153	1041
1153	1101
1153	1051
1153	55
1153	155
1153	1245
1153	1112
1041	1051
1041	855
1041	1245
1041	1101
1041	1112
1041	641
1041	1153
1245	1051
1245	1112
1245	1153
1245	1041
729	641
729	55
729	99
729	155
729	180
729	1051
144	641
144	55
144	155
144	180
144	99
144	729
144	363
454	55
454	155
454	180
454	363
454	641
454	729
454	1437
454	99
1051	1245
1051	1041
1051	1101
1051	1153
1051	729
1051	641
1051	1437
1051	1112
1101	1041
1101	1153
1101	1245
1101	1051
1101	729
1101	641
1101	1112
1101	855
855	1101
55	155
55	144
55	641
55	180
55	454
55	363
55	99
363	729
363	99
363	155
363	55
363	641
363	454
363	144
363	180
155	55
155	641
155	99
155	180
155	363
641	55
641	729
